10.510000000000000;A2;F00; RequestInformationToAp() (request #20)
10.510000000000000;A2;F00; InportReceivingInformationFromAp()
10.510000000000000;A2;C03;  - Action (1):
10.510000000000000;A2;C03;    · channel = 1
10.510000000000000;A2;C03;    · cca = -82.000000 dBm
10.510000000000000;A2;C03;    · tx_power = 15.000000 dBm
10.510000000000000;A2;C03;    · max_bandwidth = 1
10.510000000000000;A2;C03;  - Performance:
10.510000000000000;A2;C03;    · Average throughput = 39.67 Mbps
10.510000000000000;A2;C03;    · Average delay = 0.0001 s
10.510000000000000;A2;C03;    · Maximum delay = 0.0002 s
10.510000000000000;A2;C03;    · Minimum delay = 0.0000 s
10.510000000000000;A2;C03;    · Associated reward = 0.904205
10.510000000000000;A2;F00; ComputeNewConfiguration()
10.510000000000000;A2;F00; SendNewConfigurationToAp()
10.510000000000000;A2;C03;  - Action (1):
10.510000000000000;A2;C03;    · channel = 1
10.510000000000000;A2;C03;    · cca = -82.000000 dBm
10.510000000000000;A2;C03;    · tx_power = 15.000000 dBm
10.510000000000000;A2;C03;    · max_bandwidth = 1
10.510000000000000;A2;C00;  - Next request to be sent at 11.010000
11.010000000000000;A2;F00; RequestInformationToAp() (request #21)
11.010000000000000;A2;F00; InportReceivingInformationFromAp()
11.010000000000000;A2;C03;  - Action (1):
11.010000000000000;A2;C03;    · channel = 1
11.010000000000000;A2;C03;    · cca = -82.000000 dBm
11.010000000000000;A2;C03;    · tx_power = 15.000000 dBm
11.010000000000000;A2;C03;    · max_bandwidth = 1
11.010000000000000;A2;C03;  - Performance:
11.010000000000000;A2;C03;    · Average throughput = 39.67 Mbps
11.010000000000000;A2;C03;    · Average delay = 0.0001 s
11.010000000000000;A2;C03;    · Maximum delay = 0.0002 s
11.010000000000000;A2;C03;    · Minimum delay = 0.0000 s
11.010000000000000;A2;C03;    · Associated reward = 0.904205
11.010000000000000;A2;F00; ComputeNewConfiguration()
11.010000000000000;A2;F00; SendNewConfigurationToAp()
11.010000000000000;A2;C03;  - Action (1):
11.010000000000000;A2;C03;    · channel = 1
11.010000000000000;A2;C03;    · cca = -82.000000 dBm
11.010000000000000;A2;C03;    · tx_power = 15.000000 dBm
11.010000000000000;A2;C03;    · max_bandwidth = 1
11.010000000000000;A2;C00;  - Next request to be sent at 11.510000
11.510000000000000;A2;F00; RequestInformationToAp() (request #22)
11.510000000000000;A2;F00; InportReceivingInformationFromAp()
11.510000000000000;A2;C03;  - Action (1):
11.510000000000000;A2;C03;    · channel = 1
11.510000000000000;A2;C03;    · cca = -82.000000 dBm
11.510000000000000;A2;C03;    · tx_power = 15.000000 dBm
11.510000000000000;A2;C03;    · max_bandwidth = 1
11.510000000000000;A2;C03;  - Performance:
11.510000000000000;A2;C03;    · Average throughput = 39.67 Mbps
11.510000000000000;A2;C03;    · Average delay = 0.0001 s
11.510000000000000;A2;C03;    · Maximum delay = 0.0002 s
11.510000000000000;A2;C03;    · Minimum delay = 0.0000 s
11.510000000000000;A2;C03;    · Associated reward = 0.904205
11.510000000000000;A2;F00; ComputeNewConfiguration()
11.510000000000000;A2;F00; SendNewConfigurationToAp()
11.510000000000000;A2;C03;  - Action (1):
11.510000000000000;A2;C03;    · channel = 1
11.510000000000000;A2;C03;    · cca = -82.000000 dBm
11.510000000000000;A2;C03;    · tx_power = 15.000000 dBm
11.510000000000000;A2;C03;    · max_bandwidth = 1
11.510000000000000;A2;C00;  - Next request to be sent at 12.010000
12.010000000000000;A2;F00; RequestInformationToAp() (request #23)
12.010000000000000;A2;F00; InportReceivingInformationFromAp()
12.010000000000000;A2;C03;  - Action (1):
12.010000000000000;A2;C03;    · channel = 1
12.010000000000000;A2;C03;    · cca = -82.000000 dBm
12.010000000000000;A2;C03;    · tx_power = 15.000000 dBm
12.010000000000000;A2;C03;    · max_bandwidth = 1
